#{"t_start": 1624019661.3561766, "env_id": "CartPole-v1"}
r,l,t
1.0,1,3.435447
1.0,1,3.437212
1.0,1,3.438943
1.0,1,3.440717
1.0,1,3.442461
1.0,1,3.444203
1.0,1,3.44595
1.0,1,3.447754
1.0,1,3.449526
1.0,1,3.451311
1.0,1,3.453096
1.0,1,3.455015
1.0,1,3.456914
1.0,1,3.458789
1.0,1,3.460651
1.0,1,3.462535
1.0,1,3.46439
1.0,1,3.466254
1.0,1,3.468076
1.0,1,3.469944
1.0,1,3.471819
1.0,1,3.473705
1.0,1,3.47558
1.0,1,3.477441
1.0,1,3.479316
1.0,1,3.481104
1.0,1,3.482914
1.0,1,3.484699
1.0,1,3.486455
1.0,1,3.48837
1.0,1,3.490258
1.0,1,3.492161
1.0,1,3.494025
1.0,1,3.495866
1.0,1,3.497719
1.0,1,3.49955
1.0,1,3.501346
1.0,1,3.503122
1.0,1,3.504915
1.0,1,3.506825
1.0,1,3.508705
1.0,1,3.510589
1.0,1,3.512482
1.0,1,3.514356
1.0,1,3.51612
1.0,1,3.517942
1.0,1,3.519754
1.0,1,3.521538
1.0,1,3.523423
1.0,1,3.525284
1.0,1,3.527143
1.0,1,3.529018
1.0,1,3.530909
1.0,1,3.532678
1.0,1,3.53447
1.0,1,3.536295
1.0,1,3.538066
1.0,1,3.53987
1.0,1,3.541651
1.0,1,3.543451
1.0,1,3.545298
1.0,1,3.547181
1.0,1,3.549039
1.0,1,3.550944
1.0,1,3.552851
1.0,1,3.554776
1.0,1,3.556679
1.0,1,3.558503
1.0,1,3.560325
1.0,1,3.562148
1.0,1,3.56395
1.0,1,3.565818
1.0,1,3.567689
1.0,1,3.569606
1.0,1,3.571473
1.0,1,3.573349
1.0,1,3.575221
1.0,1,3.577094
1.0,1,3.578862
1.0,1,3.580577
1.0,1,3.582289
1.0,1,3.584054
1.0,1,3.585837
1.0,1,3.587653
1.0,1,3.589431
1.0,1,3.591247
1.0,1,3.593233
1.0,1,3.595116
1.0,1,3.597003
1.0,1,3.598879
1.0,1,3.600755
1.0,1,3.602636
1.0,1,3.60447
1.0,1,3.606254
1.0,1,3.608027
1.0,1,3.609849
1.0,1,3.611653
1.0,1,3.613439
1.0,1,3.615212
1.0,1,3.617033
1.0,1,3.618879
1.0,1,3.620704
1.0,1,3.622469
1.0,1,3.624237
1.0,1,3.626089
1.0,1,3.62789
1.0,1,3.629715
1.0,1,3.631527
1.0,1,3.633311
1.0,1,3.635328
1.0,1,3.637096
1.0,1,3.638963
1.0,1,3.640828
1.0,1,3.642684
1.0,1,3.644551
1.0,1,3.646389
1.0,1,3.648284
1.0,1,3.650914
1.0,1,3.653145
1.0,1,3.655062
1.0,1,3.657048
1.0,1,3.659042
1.0,1,3.660997
1.0,1,3.662966
1.0,1,3.664814
1.0,1,3.666672
1.0,1,3.668519
1.0,1,3.670366
1.0,1,3.6722
1.0,1,3.674047
1.0,1,3.675913
1.0,1,3.677767
1.0,1,3.679597
1.0,1,3.681391
1.0,1,3.683188
1.0,1,3.684958
1.0,1,3.686739
1.0,1,3.688484
1.0,1,3.690311
1.0,1,3.692181
1.0,1,3.694035
1.0,1,3.695824
1.0,1,3.697705
1.0,1,3.699554
1.0,1,3.701372
1.0,1,3.703197
1.0,1,3.705001
1.0,1,3.706843
1.0,1,3.708683
1.0,1,3.710693
1.0,1,3.712593
1.0,1,3.714464
1.0,1,3.716331
1.0,1,3.718168
1.0,1,3.719952
1.0,1,3.721805
1.0,1,3.723697
1.0,1,3.725506
1.0,1,3.727314
1.0,1,3.729093
1.0,1,3.730888
1.0,1,3.732662
1.0,1,3.734474
1.0,1,3.736337
1.0,1,3.738178
1.0,1,3.740145
1.0,1,3.742002
1.0,1,3.743842
1.0,1,3.745641
1.0,1,3.747499
1.0,1,3.749336
1.0,1,3.751196
1.0,1,3.753026
1.0,1,3.754902
1.0,1,3.756726
1.0,1,3.758582
1.0,1,3.760374
1.0,1,3.762162
1.0,1,3.763948
1.0,1,3.765766
1.0,1,3.767599
1.0,1,3.769408
1.0,1,3.771199
1.0,1,3.77302
1.0,1,3.774828
1.0,1,3.776612
1.0,1,3.778379
1.0,1,3.780227
1.0,1,3.782056
1.0,1,3.783845
1.0,1,3.785627
1.0,1,3.787386
1.0,1,3.789122
1.0,1,3.790854
1.0,1,3.79261
1.0,1,3.794586
1.0,1,3.796516
1.0,1,3.798357
1.0,1,3.800214
1.0,1,3.802014
1.0,1,3.803709
1.0,1,3.805468
1.0,1,3.807199
1.0,1,3.808943
1.0,1,3.810683
1.0,1,3.812442
1.0,1,3.814139
1.0,1,3.815894
1.0,1,3.81763
1.0,1,3.819437
1.0,1,3.821264
1.0,1,3.823125
1.0,1,3.824956
1.0,1,3.826831
1.0,1,3.832399
1.0,1,3.834781
1.0,1,3.836582
1.0,1,3.838302
1.0,1,3.839993
1.0,1,3.842133
1.0,1,3.843802
1.0,1,3.845994
1.0,1,3.848266
1.0,1,3.850472
1.0,1,3.852465
1.0,1,3.854445
1.0,1,3.856495
1.0,1,3.858634
1.0,1,3.86077
1.0,1,3.862925
1.0,1,3.865048
1.0,1,3.867157
1.0,1,3.869147
1.0,1,3.886525
